idx,token,csv_score,csv_nc,csv_dac,csv_ep,csv_ttc,csv_comfort,ar_score,ar_nc,ar_dac,ar_ep,ar_ttc,ar_comfort,human_score,human_nc,human_dac,human_ep,bev_path,combined_path
16,11b9e3f204815f4a,0.0,0.0,1.0,0.0,0.0,1.0,0.5451195551413286,1.0,1.0,0.9082869323391886,0.0,1.0,0.9698137587411795,1.0,1.0,0.9275530209788309,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/016_0.0000_11b9e3f204815f4a_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/016_0.0000_11b9e3f204815f4a_combined.png
17,12af1e0adcb65df9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9682266843577726,1.0,1.0,0.923744042458654,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/017_0.0000_12af1e0adcb65df9_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/017_0.0000_12af1e0adcb65df9_combined.png
18,14cb24f3f9fc51c8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/018_0.0000_14cb24f3f9fc51c8_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/018_0.0000_14cb24f3f9fc51c8_combined.png
19,00016f8b45c25a1d,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9354538809681422,1.0,1.0,0.8450893143235414,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/019_0.0000_00016f8b45c25a1d_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/019_0.0000_00016f8b45c25a1d_combined.png
20,012432bd62b85f80,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8452601090774792,1.0,1.0,0.6286242617859499,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/020_0.0000_012432bd62b85f80_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/020_0.0000_012432bd62b85f80_combined.png
21,015593741e7050f7,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8848517391131295,1.0,1.0,0.7236441738715108,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/021_0.0000_015593741e7050f7_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/021_0.0000_015593741e7050f7_combined.png
22,01876d7aa6f55554,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.822866869787827,1.0,1.0,0.5748804874907849,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/022_0.0000_01876d7aa6f55554_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/022_0.0000_01876d7aa6f55554_combined.png
23,01d53ccf583c5a49,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/023_0.0000_01d53ccf583c5a49_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/023_0.0000_01d53ccf583c5a49_combined.png
24,01e3dbb4fbcd5781,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/024_0.0000_01e3dbb4fbcd5781_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/024_0.0000_01e3dbb4fbcd5781_combined.png
25,024fd1e792395805,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9586581458629704,1.0,1.0,0.9007795500711289,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/025_0.0000_024fd1e792395805_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/025_0.0000_024fd1e792395805_combined.png
26,026e84581e0f5044,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9233851854211562,1.0,1.0,0.8161244450107747,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/026_0.0000_026e84581e0f5044_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/026_0.0000_026e84581e0f5044_combined.png
27,0278f1a2ae3b5ae5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9149719569143017,1.0,1.0,0.795932696594324,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/027_0.0000_0278f1a2ae3b5ae5_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/027_0.0000_0278f1a2ae3b5ae5_combined.png
28,02cc0007d6755abc,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.9185706813051038,1.0,1.0,0.8045696351322491,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/028_0.0000_02cc0007d6755abc_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/028_0.0000_02cc0007d6755abc_combined.png
29,02d9591fc6de53c8,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9522443224494689,1.0,1.0,0.8853863738787257,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/029_0.0000_02d9591fc6de53c8_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/029_0.0000_02d9591fc6de53c8_combined.png
30,030706565b1f552d,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8903397230757993,1.0,1.0,0.7368153353819186,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/030_0.0000_030706565b1f552d_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/030_0.0000_030706565b1f552d_combined.png
31,037b976caae85af5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8689249289976364,1.0,1.0,0.6854198295943273,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/031_0.0000_037b976caae85af5_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/031_0.0000_037b976caae85af5_combined.png
32,03ffae8f89f65f90,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/032_0.0000_03ffae8f89f65f90_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/032_0.0000_03ffae8f89f65f90_combined.png
33,05afd4630a525f78,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8789353583987406,1.0,1.0,0.7094448601569774,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/033_0.0000_05afd4630a525f78_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/033_0.0000_05afd4630a525f78_combined.png
34,069c47e25ca55ef5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/034_0.0000_069c47e25ca55ef5_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/034_0.0000_069c47e25ca55ef5_combined.png
35,0809e84efac053e6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/035_0.0000_0809e84efac053e6_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/035_0.0000_0809e84efac053e6_combined.png
36,08fcb3344bea538d,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8347822423024033,1.0,1.0,0.603477381525768,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/036_0.0000_08fcb3344bea538d_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/036_0.0000_08fcb3344bea538d_combined.png
37,09436f14d3185748,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/037_0.0000_09436f14d3185748_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/037_0.0000_09436f14d3185748_combined.png
38,099ff4835ee45eb6,0.0,1.0,0.0,0.0,1.0,1.0,0.9840559909282153,1.0,1.0,0.9617343782277166,1.0,1.0,0.9903133596589301,1.0,1.0,0.9767520631814322,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/038_0.0000_099ff4835ee45eb6_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/038_0.0000_099ff4835ee45eb6_combined.png
39,0a2a71c0b34c5f10,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9093682730622551,1.0,1.0,0.7824838553494121,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/039_0.0000_0a2a71c0b34c5f10_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/039_0.0000_0a2a71c0b34c5f10_combined.png
40,0b4dfcb47cb85e89,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.927725403759902,1.0,1.0,0.8265409690237647,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/040_0.0000_0b4dfcb47cb85e89_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/040_0.0000_0b4dfcb47cb85e89_combined.png
41,0bab0d24762a596d,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/041_0.0000_0bab0d24762a596d_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/041_0.0000_0bab0d24762a596d_combined.png
42,0c267e7911165e9f,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9433101385511783,1.0,1.0,0.8639443325228278,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/042_0.0000_0c267e7911165e9f_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/042_0.0000_0c267e7911165e9f_combined.png
43,0c4f97d3255155e4,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9030136073317906,1.0,1.0,0.7672326575962973,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/043_0.0000_0c4f97d3255155e4_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/043_0.0000_0c4f97d3255155e4_combined.png
44,0c91824ce1e65b6e,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8654604849278064,1.0,1.0,0.677105163826735,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/044_0.0000_0c91824ce1e65b6e_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/044_0.0000_0c91824ce1e65b6e_combined.png
45,0da8a13fb4855214,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8962156233673667,1.0,1.0,0.7509174960816798,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/045_0.0000_0da8a13fb4855214_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/045_0.0000_0da8a13fb4855214_combined.png
46,0dc54a8c8203567b,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8846478933965857,1.0,1.0,0.7231549441518056,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/046_0.0000_0dc54a8c8203567b_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/046_0.0000_0dc54a8c8203567b_combined.png
47,0e0e30877d725664,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.9654582789968679,1.0,1.0,0.917099869592483,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/047_0.0000_0e0e30877d725664_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/047_0.0000_0e0e30877d725664_combined.png
48,0e2f2cb6712550b7,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9511637836470829,1.0,1.0,0.882793080752999,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/048_0.0000_0e2f2cb6712550b7_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/048_0.0000_0e2f2cb6712550b7_combined.png
49,0e479a9039ef5c10,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9441378214551639,1.0,1.0,0.8659307714923932,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/049_0.0000_0e479a9039ef5c10_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/049_0.0000_0e479a9039ef5c10_combined.png
50,1028df4fc9055ed8,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9515500849232321,1.0,1.0,0.8837202038157571,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/050_0.0000_1028df4fc9055ed8_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/050_0.0000_1028df4fc9055ed8_combined.png
51,10d0706cdc655c9f,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9250090008665577,1.0,1.0,0.8200216020797385,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/051_0.0000_10d0706cdc655c9f_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/051_0.0000_10d0706cdc655c9f_combined.png
52,1148c72f141c532d,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/052_0.0000_1148c72f141c532d_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/052_0.0000_1148c72f141c532d_combined.png
53,11568fab86df5183,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9633247536114306,1.0,1.0,0.9119794086674334,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/053_0.0000_11568fab86df5183_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/053_0.0000_11568fab86df5183_combined.png
54,11bf2d4580ab5bc2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9696825191824248,1.0,1.0,0.9272380460378196,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/054_0.0000_11bf2d4580ab5bc2_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/054_0.0000_11bf2d4580ab5bc2_combined.png
55,11c529f1623b5034,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9931568096729113,1.0,1.0,0.9835763432149872,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/055_0.0000_11c529f1623b5034_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/055_0.0000_11c529f1623b5034_combined.png
56,131ab0263b07507c,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/056_0.0000_131ab0263b07507c_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/056_0.0000_131ab0263b07507c_combined.png
57,13310ca9a7715154,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8587969327213253,1.0,1.0,0.6611126385311806,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/057_0.0000_13310ca9a7715154_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/057_0.0000_13310ca9a7715154_combined.png
58,137f854539c45fe1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9874840391714912,1.0,1.0,0.9699616940115786,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/058_0.0000_137f854539c45fe1_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/058_0.0000_137f854539c45fe1_combined.png
59,13cd1cf21a4f5acb,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9100176296543762,1.0,1.0,0.7840423111705028,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/059_0.0000_13cd1cf21a4f5acb_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/059_0.0000_13cd1cf21a4f5acb_combined.png
60,13f7b495f8065eec,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9089218148455868,1.0,1.0,0.7814123556294081,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/060_0.0000_13f7b495f8065eec_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/060_0.0000_13f7b495f8065eec_combined.png
61,14297ef551f652d3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/061_0.0000_14297ef551f652d3_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/061_0.0000_14297ef551f652d3_combined.png
62,143989e6ed115458,0.0,1.0,0.0,0.0,1.0,1.0,0.9440192378114004,1.0,1.0,0.8656461707473613,1.0,1.0,0.9322606417467889,1.0,1.0,0.8374255401922934,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/062_0.0000_143989e6ed115458_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/062_0.0000_143989e6ed115458_combined.png
63,14b270ee5a395ea9,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.959710578797826,1.0,1.0,0.9033053891147823,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/bev/063_0.0000_14b270ee5a395ea9_bev.png,/home/byounggun/DiffusionDrive/plots/ar_bad_scene_visualization_ipynb/combined/063_0.0000_14b270ee5a395ea9_combined.png
